Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"TCL","Crops and livestock products","356","India","5910","Export quantity","01929.07","Abaca, manila hemp, raw","2000","2000","t","104","A","Official figure",""
"TCL","Crops and livestock products","356","India","5922","Export value","01929.07","Abaca, manila hemp, raw","2000","2000","1000 USD","45","A","Official figure",""
"TCL","Crops and livestock products","356","India","5910","Export quantity","01929.07","Abaca, manila hemp, raw","2001","2001","t","0","A","Official figure",""
"TCL","Crops and livestock products","356","India","5922","Export value","01929.07","Abaca, manila hemp, raw","2001","2001","1000 USD","0","A","Official figure",""
"TCL","Crops and livestock products","356","India","5910","Export quantity","01929.07","Abaca, manila hemp, raw","2002","2002","t","0","E","Estimated value",""
"TCL","Crops and livestock products","356","India","5922","Export value","01929.07","Abaca, manila hemp, raw","2002","2002","1000 USD","0","E","Estimated value",""
"TCL","Crops and livestock products","356","India","5910","Export quantity","01929.07","Abaca, manila hemp, raw","2003","2003","t","1","A","Official figure",""
"TCL","Crops and livestock products","356","India","5922","Export value","01929.07","Abaca, manila hemp, raw","2003","2003","1000 USD","1","A","Official figure",""
"TCL","Crops and livestock products","356","India","5910","Export quantity","01929.07","Abaca, manila hemp, raw","2004","2004","t","0","X","Figure from international organizations","Estimated data using trading partners database"
"TCL","Crops and livestock products","356","India","5922","Export value","01929.07","Abaca, manila hemp, raw","2004","2004","1000 USD","0","X","Figure from international organizations","Estimated data using trading partners database"
"TCL","Crops and livestock products","356","India","5910","Export quantity","01929.07","Abaca, manila hemp, raw","2005","2005","t","0","E","Estimated value",""
"TCL","Crops and livestock products","356","India","5922","Export value","01929.07","Abaca, manila hemp, raw","2005","2005","1000 USD","0","E","Estimated value",""
"TCL","Crops and livestock products","356","India","5910","Export quantity","01929.07","Abaca, manila hemp, raw","2006","2006","t","18","A","Official figure",""
"TCL","Crops and livestock products","356","India","5922","Export value","01929.07","Abaca, manila hemp, raw","2006","2006","1000 USD","4","A","Official figure",""
"TCL","Crops and livestock products","356","India","5910","Export quantity","01929.07","Abaca, manila hemp, raw","2007","2007","t","56","A","Official figure",""
"TCL","Crops and livestock products","356","India","5922","Export value","01929.07","Abaca, manila hemp, raw","2007","2007","1000 USD","15","A","Official figure",""
"TCL","Crops and livestock products","356","India","5910","Export quantity","01929.07","Abaca, manila hemp, raw","2008","2008","t","190","A","Official figure",""
"TCL","Crops and livestock products","356","India","5922","Export value","01929.07","Abaca, manila hemp, raw","2008","2008","1000 USD","68","A","Official figure",""
"TCL","Crops and livestock products","356","India","5910","Export quantity","01929.07","Abaca, manila hemp, raw","2009","2009","t","22","A","Official figure",""
"TCL","Crops and livestock products","356","India","5922","Export value","01929.07","Abaca, manila hemp, raw","2009","2009","1000 USD","10","A","Official figure",""
"TCL","Crops and livestock products","356","India","5910","Export quantity","01929.07","Abaca, manila hemp, raw","2010","2010","t","0","X","Figure from international organizations","Estimated data using trading partners database"
"TCL","Crops and livestock products","356","India","5922","Export value","01929.07","Abaca, manila hemp, raw","2010","2010","1000 USD","0","X","Figure from international organizations","Estimated data using trading partners database"
"TCL","Crops and livestock products","356","India","5910","Export quantity","01929.07","Abaca, manila hemp, raw","2011","2011","t","0","E","Estimated value",""
"TCL","Crops and livestock products","356","India","5922","Export value","01929.07","Abaca, manila hemp, raw","2011","2011","1000 USD","0","E","Estimated value",""
"TCL","Crops and livestock products","356","India","5910","Export quantity","01929.07","Abaca, manila hemp, raw","2012","2012","t","0","E","Estimated value",""
"TCL","Crops and livestock products","356","India","5922","Export value","01929.07","Abaca, manila hemp, raw","2012","2012","1000 USD","0","E","Estimated value",""
